title,summary,is_word_play,Разметка - механизм 1,Разметка - механизм 2,Комментарий,URL,creation_date,article_url
Путеводный маньяк // В сети выходит сериал «Замаячный»,"На платформе KION начался показ восьмисерийного триллера «Замаячный». Снятый Андреем Либенсоном еще в 2019 году, он, именовавшийся тогда «Ничьей землей», не удовлетворил «Первый канал» и четыре года пролежал «на полке». Михаил Трофименков, посмотрев первые две серии, засомневался в том, что «Замаячного» стоило с пресловутой полки снимать.",Да,Трансформация устойчивых сочетаний,,путеводный маяк,нет,2023-08-02,https://www.kommersant.ru/doc/6137193
Двойной иноагент // Марии Бутиной зачли ее иностранное прошлое,"Центризбирком (ЦИК) готов провести дополнительную проверку на предмет наличия иностранных активов у члена Общественной палаты РФ Марии Бутиной, баллотирующейся в Госдуму по партсписку «Единой России» в Кировской области, сообщил в среду зампред комиссии Николай Булаев. Известная общественница, отбывшая в США срок за нарушение закона об иноагентах, уверяет, что своевременно прекратила пользоваться зарубежными активами, и источник “Ъ” в ЦИКе это подтверждает. Однако кировские коммунисты, пожаловавшиеся на госпожу Бутину в ЦИК, обнаружили в ее декларации еще и данные об иностранном финансировании. А это позволяет Минюсту и ЦИКу присвоить ей статус кандидата—иностранного агента, считают эксперты.",Да,Трансформация устойчивых сочетаний,,двойной агент,https://ru.wikipedia.org/wiki/Двойной_агент,2021-08-18,
Превратности стрельбы // Новый фильм Мартина Кэмпбелла «Кодекс киллера»,"В прокат вышел фильм Мартина Кэмпбелла «Кодекс киллера» (The Protege). По мнению Михаила Трофименкова, мастер жанра, автор «Маски Зорро» (1998) и «Казино ""Рояль""» (2006), снял едва ли не самый отмороженный комикс наших дней. И доказал, что даже в семьдесят семь лет может отстреливать без промаха что правых, что виноватых в соответствии со старой ковбойской этикой: «Господь Бог на том свете своих от чужих отличит».",Да,Трансформация устойчивых сочетаний,,превратности судьбы,нет,2021-08-19,
Контентом общим не измерить // Интернет-площадки передадут измерителю данные о пользователях по индивидуальным соглашениям,"Роскомнадзор разработал порядок, по которому интернет-площадки будут передавать данные о своей аудитории единому измерителю рунета. Минцифры подготовило предложения об объеме и составе информации. Но по новым правилам измеритель заключит с каждым ресурсом соглашение, определяющее объем и содержание данных, а также способ и регулярность их выдачи. Участники рынка опасаются, что такая формулировка позволит новой структуре требовать фактически неограниченный объем информации для таргетинга рекламы.",Да,Отсылка к прецедентным текстам,,аршином общим не измерить,https://ru.wikipedia.org/wiki/Умом_Россию_не_понять,2021-08-19,
"И пошли они, солнцем талибы // Рождение нового Афганистана сулит радикальные перемены в зоне стратегических интересов России","Возращение к власти в Афганистане запрещенного в России движения «Талибан» подвело черту под международным проектом переустройства самого отсталого и конфликтного государства региона. Отвергнув западную модернизацию, Афганистан получил второй шанс на реализацию национального исламистского проекта, реанимированного победой талибов. Радикальная трансформация государства, которое покинули США, дала старт новой гонке за контроль над Афганистаном, создавая не только риски, но и возможности. Выгодоприобретателями помимо Пакистана могут стать главные соперники США — прежде всего Китай, расширяющий свою экспансию в Азии.",Да,Отсылка к прецедентным текстам,,"И пошли они, солнцем палимы",нет,2021-08-19,
Основы пивонаварения // ФАС анализирует ценообразование на рынке,"На российском пивном рынке снова обострился вопрос ценообразования. После обращений участников отрасли о наличии признаков демпинга Федеральная антимонопольная служба (ФАС) запросила у производителей данные о формировании стоимости. Малые и средние предприятия выступают за установление минимальной розничной цены (МРЦ), а транснациональные компании обвинения называют «абсурдными».",Да,Словообразование,,,,2021-08-19,
Дела особой присяжности // Разбирательствам в сфере IT предложено расширить подсудность,"Полномочия суда присяжных в России могут расширить на уголовные дела экономической направленности в IT-сфере. Такая мера содержится в «дорожной карте» по созданию дополнительных условий для развития отрасли. В случае реализации это будет первый пример участия присяжных в России в экономических процессах. Участники рынка, выдвинувшие идею, рассчитывают на мягкость присяжных по сравнению с государственными судами. Но ряд юристов сомневаются в ее эффективности.",Да,Трансформация устойчивых сочетаний,Словообразование,дело особой важности,нет,2021-08-19,
Не наломать бы недров // Правительство рассматривает реформу управления геологией,"Управление геологической отраслью России может измениться. Лидер «Справедливой России» Сергей Миронов предложил Владимиру Путину вернуть единую вертикаль управления и воссоздать существовавшее в СССР министерство геологии на базе Роснедр и «Росгеологии», забрав недропользование у Минприроды. Или же хотя бы просто подчинить ведомство напрямую правительству. Но в самом Минприроды, наоборот, отстаивают вариант полного поглощения Роснедр. По данным “Ъ”, правительство рассматривает концепцию Сергея Миронова, но однозначной позиции нет.",Да,Трансформация фразеологизмов,Словообразование,наломать дров,https://ru.wiktionary.org/wiki/наломать_дров,2021-08-19,
В соответствии с цифрой закона // ЦИК России отказался от создания экспериментальных участков на выборах в Госдуму в 2021 году,"Как стало известно “Ъ”, Центризбирком (ЦИК) не будет обустраивать в этом году цифровые избирательные участки, на которых россияне могли бы голосовать за губернаторов и депутатов своих регионов, находясь, например, в Москве. Такой эксперимент проводился в столице дважды, и глава ЦИКа Элла Памфилова не раз говорила о планах расширить его на всю страну и оснастить специальными терминалами к выборам в Госдуму 5 тыс. участков. Однако цифровые участки так и не нашли отражения в избирательном законодательстве, а в ЦИКе сейчас есть только 32 экспериментальных терминала. По мнению эксперта, отказ от цифровых участков связан с оптимизацией технических средств голосования и ставкой ЦИКа на развитие онлайн-голосования, которое, впрочем, в этом году доступно только семи регионам.",Да,Трансформация фразеологизмов,,буква закона,нет,2021-08-19,
«Интеко» садится в «Самолет» // Банк «Траст» готов продать свой актив застройщику массового жилья,"Группа «Самолет» стала одним из претендентов на бизнес «Интеко». Компания, основанная Еленой Батуриной, но принадлежащая сейчас банку «Траст», может стоить более 30 млрд руб. В «Самолете» рассчитывает, что новое приобретение позволит увеличить капитализацию группы до 400 млрд руб. перед SPO, которое запланировано на будущий год.",Да,Полисемия,,,,2021-08-19,
Прощание германки // Ангела Меркель едет в Москву подвести итоги,"За месяц до парламентских выборов в Германии канцлер ФРГ Ангела Меркель продолжает серию прощальных зарубежных поездок. В пятницу она проведет в Москве переговоры с президентом РФ Владимиром Путиным. Встреча госпожи Меркель с российским лидером подводит черту под их многолетним взаимодействием, которое временами было довольно плодотворным. Но его итоги, особенно в области двусторонних отношений, оказались неутешительными.",Да,Отсылка к прецедентным текстам,,прощание славянки,https://ru.wikipedia.org/wiki/Прощание_славянки,2021-08-19,
Пока суд да Страсбург // Решение ЦИКа о снятии Павла Грудинина с выборов в Госдуму вступило в силу,"Апелляционная коллегия Верховного суда (ВС) в четверг оставила в силе решение об исключении директора «Совхоза имени Ленина» Павла Грудинина из списка КПРФ на выборах в Госдуму, где он занимал третье место. Коммунисты считают эту ситуацию «спланированной спецоперацией» и намерены добиваться справедливости в Страсбургском суде. Сам господин Грудинин напомнил, что десять лет назад его уже снимали с выборов в Мособлдуму, но спустя 2,5 года он доказал свою правоту в суде. В Центризбиркоме уверены, что все сделали правильно, так как руководствовались нормами закона.",Да,Трансформация фразеологизмов,,пока суд да дело,https://ru.wiktionary.org/wiki/пока_суд_да_дело,2021-08-19,
Все верфи в гости будут к нам // Ледокол для Балтики построят в Китае или в Турции,"Как стало известно “Ъ”, строительством второго ледокола на 18 МВт для «Росморпорта» займется самарское предприятие «Нефтефлот». Источники “Ъ” отмечают, что по техническим параметрам этот завод не сможет выполнить заказ и в качестве субподрядчика будет привлечена зарубежная верфь — вероятно, китайская. Один из собеседников “Ъ” утверждает, что может быть также рассмотрен вариант со строительством данного ледокола в Турции.",Да,Отсылка к прецедентным текстам,,Все флаги в гости будут к нам,https://ru.wikipedia.org/wiki/Медный_всадник_(поэма),2021-08-20,
Кипит наш разум размещенный // Как меняется роль народных масс в сделках IPO,"Гражданам, не первый год активно прибывающим на фондовый рынок, становится тесно в рамках его вторичного сегмента. Их все больше привлекает участие в более маржинальных первичных размещениях и даже сделках пре-IPO. Хотя определяющую роль на рынке еще долго будут выполнять институциональные инвесторы, по числу участников последние сделки IPO уже можно сравнивать с «народными» размещениями 2006–2007 годов. В итоге растет актуальность задачи снижения специфических рисков российского фондового рынка, осложняющих комфортное участие граждан в IPO.",Да,Отсылка к прецедентным текстам,,Кипит наш разум возмущенный,https://ru.wikipedia.org/wiki/Интернационал_(гимн),2021-08-20,
Лихие гробовые // Производители похоронной продукции подняли цены,"Из-за подорожания древесины и металла в августе в России заметно выросли цены на похоронную атрибутику. Только за месяц стоимость гробов выросла минимум на 30%, деревянные кресты — на 20%, а металлические оградки для могил — в 2,5 раза. Эксперты не ожидают снижения цен в ближайшее время. В этой ситуации россиянам придется выбирать более дешевые варианты из картонного материала или ЛДСП.",Да,Трансформация устойчивых сочетаний,,лихие девяностые,,2021-08-20,
«Ростех» широкого «Спектра» // Госкорпорация выделяет телекоммуникационный бизнес,"Госкорпорация «Ростех» учредила компанию «Спектр», которую рассчитывает сделать «национальным вендором» оборудования для сетей связи 4G, 5G и 6G. Российским операторам связи придется закупать российское оборудование для 4G уже с 2023 года, но сейчас их сети работают на решениях ZTE, Nokia, Huawei и Ericsson. Эксперты говорят о рисках монополизации рынка. Однако конкуренты скептически смотрят на планы «Ростеха»: у российских предприятий нет опыта и технологий, а обойтись без компонентов зарубежных поставщиков будет почти невозможно.",Да,Полисемия,,,,2021-08-20,
Пора выносить мусор из избы // Структуры столичной мэрии объявили конкурсы на вывоз отходов из офисов и магазинов на 231 млрд рублей,"Столичный оператор по вывозу твердых отходов ГУП «Экотехпром» объявил конкурсы по вывозу мусора из всех 11 округов Москвы — на общую сумму в 231 млрд руб. Сейчас мусор в Москве утилизируют пять операторов по 15-летним контрактам, но они вывозят отходы из многоквартирных домов. Новые контракты рассчитаны на вывоз мусора в 2022–2029 годах из столичных магазинов, офисов и других мест за пределами старых контрактов, дали понять в «Экотехпроме». Эксперты опасаются, что цена на вывоз мусора для коммерческого сектора может вырасти в разы.",Да,Трансформация фразеологизмов,,выносить сор из избы,https://ru.wiktionary.org/wiki/выносить_сор_из_избы,2021-08-20,
Всем Пакьяо // Знаменитый филиппинский боксер проведет свой последний поединок,"В субботу в Лас-Вегасе состоится один из интереснейших боксерских матчей года. Знаменитый Мэнни Пакьяо, становившийся чемпионом мира в восьми весовых категориях, возвращается на ринг после двухлетнего перерыва. Противостоять ему будет кубинец Йорденис Угас. На кону будет стоять, во-первых, титул чемпиона Всемирной боксерской ассоциации (WBA), во-вторых, солиднейшие призовые. По крайней мере для 42-летнего Пакьяо, который может перед окончательным уходом в политику стать богаче еще на $25 млн.",Да,Омофония,,всем пока,,2021-08-20,
Президент и партия едины // Владимир Путин включается в думскую кампанию «Единой России»,"22 августа, в День государственного флага, Владимир Путин встретится с лидерами и «новыми лицами» предвыборного списка «Единой России». По словам источников “Ъ”, единороссы могут обсудить с президентом новые социальные инициативы, которые могут быть включены в программу партии 24 августа на второй части съезда — его также планирует посетить президент. Поддержка Владимира Путина может дать партии новый импульс, который поможет поднять ее рейтинги, за последний месяц опустившиеся ниже 30%.",Да,Отсылка к прецедентным текстам,,народ и партия едины,нет,2021-08-18,
Не того поля ягода // Уязвимости BlackBerry ведут к рискам для критически важных систем,"Канадская BlackBerry опубликовала список версий своей операционной системы (ОС) QNX, на который влияет обнаруженная Microsoft в апреле уязвимость BadAlloc. На этой ОС работают многие критически важные информационные системы России, в том числе в горнодобывающей и нефтеперерабатывающей отраслях. Используя уязвимость, злоумышленники могут получить контроль над системами, предупреждают эксперты.",Да,Трансформация фразеологизмов,,,https://ru.wiktionary.org/wiki/одного_поля_ягоды,2021-08-18,
Игра в престолы // Зачем талибы начали консультации о будущем правительстве Афганистана,"Переговоры о формировании нового правительства Афганистана выходят из тени. В Кабуле, по сообщениям местных СМИ, встретились некогда заклятые враги: экс-президент Хамид Карзай вместе с главой Высшего совета по национальному примирению Абдуллой Абдуллой, с одной стороны, и представитель запрещенного в России террористического движения «Талибан» Анас Хаккани — с другой. Эксперты предсказывают, что талибы не допустят к реальной власти другие силы: если коалиция и будет создана, то чисто номинальная — чтобы облагородить имидж исламистов на международной арене. Тем временем международное сообщество напряженно следит не столько за ходом этих переговоров, сколько за надвигающимся «миграционным цунами».",Да,Отсылка к прецедентным текстам,,игра престолов,https://ru.wikipedia.org/wiki/Игра_престолов_(телесериал),2021-08-18,
Заплати по искам и спи спокойно // Невыплаченные суммы по арбитражам будут индексироваться по инфляции,"Минюст подготовил второй законопроект, касающийся индексации присужденных денежных сумм — на этот раз в рамках арбитражных дел. Индексация будет производиться исходя из уровня инфляции, рассчитываемой Росстатом, с момента вынесения решения суда и до его исполнения. Ранее Минюст настаивал на том, что в арбитражных делах приоритет отдается свободе договора — стороны должны именно в них оговаривать индексацию сумм по контрактам,— но изменил позицию после постановления Конституционного суда (КС), который предписал в Арбитражном процессуальном кодексе (АПК) определить порядок индексации, а до этого индексировать суммы по инфляции Росстата. Юристы отмечают, что решение, де-факто по умолчанию возложившее «инфляционный налог» на проигравшую иск сторону, ускорит выплаты по искам.",Да,Отсылка к прецедентным текстам,,заплати налоги и спи спокойно (слоган из социальной рекламы),нет,2021-08-18,
"То же такси, только в профиль // Столичные и подмосковные власти запустили новую систему для контроля водителей таксомоторов","Власти Москвы и Подмосковья запустили с 14 августа информационную систему по мониторингу работы таксистов. Каждый водитель теперь обязан иметь «цифровой профиль», привязанный к порталу госуслуг: через него власти будут следить за передаваемыми заказами, проверять документы, отслеживать случаи переработки. О нарушениях мэрия сообщит в прокуратуру. Правовых оснований для введения новых правил нет, отмечают эксперты, а рост тарифов для потребителя возможен.",Да,Трансформация устойчивых сочетаний,,"те же яйца, только в профиль",нет,2021-08-15,
Сам себе кандидат // Зарегистрироваться на думских выборах смогли 11 из 174 самовыдвиженцев,"Окружные избирательные комиссии завершили регистрацию самовыдвиженцев на выборах в Госдуму. Из 174 кандидатов кампанию продолжат только 11, чьи подписи успешно прошли проверку. Остальные или не собрали достаточно автографов в свою поддержку, или были сняты с гонки за превышение допустимого брака в подписных листах. Большинство самовыдвиженцев идут в Думу с одобрения власти, а несколько независимых кандидатов допущены лишь для того, чтобы раздробить оппозиционный электорат, считают эксперты.",Да,Отсылка к прецедентным текстам,,сам себе режиссер,https://ru.wikipedia.org/wiki/Сам_себе_режиссёр,2021-08-16,
Довольно бездзюбый состав // Валерий Карпин назвал список кандидатов на участие в отборочных матчах чемпионата мира,"Новый главный тренер сборной России Валерий Карпин назвал расширенный список кандидатов на участие в ближайших отборочных матчах чемпионата мира 2022 года с Хорватией, Кипром и Мальтой, которые состоятся в начале сентября. В предварительный состав вошли 4 вратаря и 27 полевых игроков. Новых фамилий в нем немного, и в основном приглашение получили те же футболисты, которых вызывал прежний наставник команды Станислав Черчесов. При этом в списке Карпина не оказалось Артема Дзюбы, лидера и лучшего бомбардира сборной России последних лет.",Да,Словообразование,,,,2021-08-16,
